,Course_Title,Organization,Course_Type,Course_Rating,Difficulty_Level,Enrolled_Students,Students
818,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100k,100000.0
819,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26k,26000.0
820,The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.2k,5200.0
821,The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28k,28000.0
822,The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33k,33000.0
823,The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14k,14000.0
824,Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200k,200000.0
825,Tools for Data Science,IBM,COURSE,4.6,Beginner,120k,120000.0
826,Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68k,68000.0
827,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45k,45000.0
828,Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110k,110000.0
829,Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5.4k,5400.0
830,U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,12000.0
831,UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k,44000.0
832,UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k,68000.0
833,UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25k,25000.0
834,Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29k,29000.0
835,Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78k,78000.0
836,Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89k,89000.0
837,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24k,24000.0
838,Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11k,11000.0
839,Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49k,49000.0
840,Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120k,120000.0
841,Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30k,30000.0
842,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k,130000.0
843,Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.1k,6100.0
844,Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12k,12000.0
845,University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9.5k,9500.0
846,Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate,3.9k,3900.0
847,User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23k,23000.0
848,User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43k,43000.0
849,Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,220k,220000.0
850,Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,310k,310000.0
851,Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19k,19000.0
852,Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63k,63000.0
853,Version Control with Git,Atlassian,COURSE,4.8,Mixed,40k,40000.0
854,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150k,150000.0
855,Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37k,37000.0
856,Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23k,23000.0
857,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed,190k,190000.0
858,Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120k,120000.0
859,Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280k,280000.0
860,Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34k,34000.0
861,What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120k,120000.0
862,What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,35k,35000.0
863,What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6.2k,6200.0
864,What is Data Science?,IBM,COURSE,4.7,Beginner,260k,260000.0
865,What is Social?,Northwestern University,COURSE,4.6,Mixed,94k,94000.0
866,Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,32k,32000.0
867,Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17k,17000.0
868,Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12k,12000.0
869,Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed,270k,270000.0
870,Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18k,18000.0
871,Writing in the Sciences,Stanford University,COURSE,4.9,Beginner,140k,140000.0
872,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17k,17000.0
873,iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76k,76000.0
874,¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25k,25000.0
875,Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190k,190000.0
876,Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69k,69000.0
877,Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14k,14000.0
878,Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68k,68000.0
879,Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16k,16000.0
880,Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,Beginner,67k,67000.0
881,Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,77k,77000.0
882,Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19k,19000.0
883,Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,83k,83000.0
884,Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41k,41000.0
885,Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45k,45000.0
886,Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52k,52000.0
887,Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,21k,21000.0
888,Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30k,30000.0
889,Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9.8k,9800.0
890,Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38k,38000.0
